2026-08-03 18:54:31,972 | WARNING  | stockm.api.errors | APIError PREDICTION_FAILED: prediction failed for ADANIENT.NS: feature_names mismatch: ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'momentum_5', 'macd', 'vma_10', 'dist_sma_50', 'bb_width', 'return_lag_20', 'obv', 'return_lag_5', 'high_low_range', 'day_of_month', 'dist_sma_5', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'return_lag_10', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20'] ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'macd', 'vma_10', 'momentum_5', 'dist_sma_50', 'return_lag_20', 'bb_width', 'return_lag_5', 'obv', 'high_low_range', 'dist_sma_5', 'day_of_month', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20', 'return_lag_10'] (path=/predict)
2026-08-03 18:54:31,974 | INFO     | stockm.api.access | POST /predict 503 3131.0ms rid=f022889851cf
2026-08-03 18:54:31,976 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 503 Service Unavailable"
2026-08-03 18:54:32,960 | INFO     | stockm.api.access | GET /models 200 2.5ms rid=133242d4586d
2026-08-03 18:54:32,961 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:54:32,974 | INFO     | stockm.models.prediction | loaded optimized model for ADANIENT.NS
2026-08-03 18:54:33,011 | WARNING  | stockm.api.errors | APIError PREDICTION_FAILED: prediction failed for ADANIENT.NS: feature_names mismatch: ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'momentum_5', 'macd', 'vma_10', 'dist_sma_50', 'bb_width', 'return_lag_20', 'obv', 'return_lag_5', 'high_low_range', 'day_of_month', 'dist_sma_5', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'return_lag_10', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20'] ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'macd', 'vma_10', 'momentum_5', 'dist_sma_50', 'return_lag_20', 'bb_width', 'return_lag_5', 'obv', 'high_low_range', 'dist_sma_5', 'day_of_month', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20', 'return_lag_10'] (path=/predict)
2026-08-03 18:54:33,012 | INFO     | stockm.api.access | POST /predict 503 47.8ms rid=test-123
2026-08-03 18:54:33,013 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 503 Service Unavailable"
2026-08-03 18:54:33,022 | WARNING  | stockm.api.errors | APIError MODEL_NOT_FOUND: "no deployed model for 'NONEXISTENT.NS'" (path=/predict)
