2026-07-21 20:40:01,272 | INFO    | stockm.ingestion |   saved LT.NS            -> LT_NS.csv
2026-07-21 20:40:02,292 | INFO    | stockm.ingestion |   saved ITC.NS           -> ITC_NS.csv
2026-07-21 20:40:03,437 | INFO    | stockm.ingestion |   saved AXISBANK.NS      -> AXISBANK_NS.csv
2026-07-21 20:40:04,281 | INFO    | stockm.ingestion |   saved KOTAKBANK.NS     -> KOTAKBANK_NS.csv
2026-07-21 20:40:05,165 | INFO    | stockm.ingestion |   saved HINDUNILVR.NS    -> HINDUNILVR_NS.csv
2026-07-21 20:40:06,162 | INFO    | stockm.ingestion |   saved Bajajfinsv.NS    -> Bajajfinsv_NS.csv
2026-07-21 20:40:09,853 | INFO    | stockm.ingestion |   saved BAJFINANCE.NS    -> BAJFINANCE_NS.csv
2026-07-21 20:40:10,594 | INFO    | stockm.ingestion |   saved MARUTI.NS        -> MARUTI_NS.csv
2026-07-21 20:40:11,297 | INFO    | stockm.ingestion |   saved ASIANPAINT.NS    -> ASIANPAINT_NS.csv
2026-07-21 20:40:12,459 | INFO    | stockm.ingestion |   saved HCLTECH.NS       -> HCLTECH_NS.csv
2026-07-21 20:40:13,247 | INFO    | stockm.ingestion |   saved SUNPHARMA.NS     -> SUNPHARMA_NS.csv
2026-07-21 20:40:14,167 | INFO    | stockm.ingestion |   saved WIPRO.NS         -> WIPRO_NS.csv
2026-07-21 20:40:15,107 | INFO    | stockm.ingestion |   saved ULTRACEMCO.NS    -> ULTRACEMCO_NS.csv
2026-07-21 20:40:16,108 | INFO    | stockm.ingestion |   saved TITAN.NS         -> TITAN_NS.csv
2026-07-21 20:40:17,045 | INFO    | stockm.ingestion |   saved NESTLEIND.NS     -> NESTLEIND_NS.csv
2026-07-21 20:40:18,080 | INFO    | stockm.ingestion |   saved ONGC.NS          -> ONGC_NS.csv
2026-07-21 20:40:18,777 | INFO    | stockm.ingestion |   saved NTPC.NS          -> NTPC_NS.csv
2026-07-21 20:40:22,445 | INFO    | stockm.ingestion |   saved POWERGRID.NS     -> POWERGRID_NS.csv
2026-07-21 20:40:24,950 | ERROR   | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: TATAMOTORS.NS"}}}
2026-07-21 20:40:25,462 | ERROR   | yfinance | $TATAMOTORS.NS: possibly delisted; no timezone found
2026-07-21 20:40:25,463 | ERROR   | yfinance | 
1 Failed download:
2026-07-21 20:40:25,464 | ERROR   | yfinance | ['TATAMOTORS.NS']: possibly delisted; no timezone found
2026-07-21 20:40:25,469 | WARNING | stockm.collector | TATAMOTORS.NS: TATAMOTORS.NS returned 0 rows
2026-07-21 20:40:25,469 | WARNING | stockm.ingestion |   SKIP  TATAMOTORS.NS    No data for TATAMOTORS.NS (tried ['TATAMOTORS.NS']). Yahoo may be temporarily 404-ing this symbol; retry later or add an alias in SYMBOL_ALIASES.
2026-07-21 20:40:31,560 | INFO    | stockm.ingestion |   saved TATASTEEL.NS     -> TATASTEEL_NS.csv
2026-07-21 20:40:32,613 | INFO    | stockm.ingestion |   saved JSWSTEEL.NS      -> JSWSTEEL_NS.csv
2026-07-21 20:40:33,580 | INFO    | stockm.ingestion |   saved COALINDIA.NS     -> COALINDIA_NS.csv
2026-07-21 20:40:34,434 | INFO    | stockm.ingestion |   saved M&M.NS           -> M&M_NS.csv
2026-07-21 20:40:35,457 | INFO    | stockm.ingestion |   saved TECHM.NS         -> TECHM_NS.csv
2026-07-21 20:40:36,096 | INFO    | stockm.ingestion |   saved HDFCLIFE.NS      -> HDFCLIFE_NS.csv
2026-07-21 20:40:37,259 | INFO    | stockm.ingestion |   saved GRASIM.NS        -> GRASIM_NS.csv
2026-07-21 20:40:38,221 | INFO    | stockm.ingestion |   saved DIVISLAB.NS      -> DIVISLAB_NS.csv
2026-07-21 20:40:39,156 | INFO    | stockm.ingestion |   saved DRREDDY.NS       -> DRREDDY_NS.csv
2026-07-21 20:40:40,073 | INFO    | stockm.ingestion |   saved CIPLA.NS         -> CIPLA_NS.csv
2026-07-21 20:40:41,240 | INFO    | stockm.ingestion |   saved ADANIPORTS.NS    -> ADANIPORTS_NS.csv
2026-07-21 20:40:42,326 | INFO    | stockm.ingestion |   saved ADANIENT.NS      -> ADANIENT_NS.csv
