Date,dist_sma_100,roc_10,atr,dist_sma_50,volume_lag_1,volume_lag_3,return_lag_5,volume_change_ratio,sma_200,volume_ratio_10,momentum_10,dist_sma_5,week,open_close_diff,month_sin,roc_20,return_lag_20,rolling_vol_5,price_diff_pct,rolling_var_20,bb_pct,high_low_range,day_of_week_sin,vma_10,macd_hist,macd,day_of_month,bb_width,atr_pct,return_lag_10,volume_lag_10,rsi,return_lag_3,obv,rolling_var_5,rolling_vol_20,volume_ratio_20,momentum_20,rolling_vol_10,volume_change,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2018-08-16,-0.42717036331845587,-1.1008686590889831,0.3835328069314698,-0.2878480716919239,-0.5854185759600187,-0.7183497852564863,0.2352354517631052,0.41465334376677826,1.5025496704466395,-0.32593275598877264,-1.8032757357486964,-0.6061239431019908,0.4168790859495963,-0.1620477538466392,-1.2259409419870166,0.05348180346081412,-0.3302046071987933,-1.1750647826190752,-0.36507970649394544,0.21950874282416605,-1.0942404153289433,-0.9256691661760237,0.15198258493528533,-0.10010786344667241,-1.608687833083753,-0.19507579429032884,0.02447762272980982,-0.41106699560268056,-0.8405472650785227,-0.10578263306472448,-0.481014402170285,-1.5405963391448025,0.11770033532510114,0.9460318642414692,-0.3667583438078451,-0.4174540206333522,-0.20849056331092689,0.19163551893953273,-0.17757999450977222,0.3968535293024937,357.48046875,0.0102097721159164,0.0172683399267296,1,2
2018-08-17,-0.3513951456015389,-0.9757188211575487,0.33715872166763095,-0.17414287845612403,-0.25479247635908425,-0.6060814236112214,0.35748415144091156,-0.42052218334609454,1.5000420940626262,-0.5232641298325282,-1.5878600319223801,-0.12990849738756163,0.4168790859495963,0.40699514580330937,-1.2259409419870166,0.00522446466160632,0.6192828239010254,-1.1394364315473149,0.39404840203946995,0.16124899206392548,-0.8975398248636736,-0.7644217120876863,-1.5387256404819432,-0.15002851581124177,-1.4965678018285709,-0.27326632646745813,0.13852024552425135,-0.4645418888952392,-0.8968420047225076,-0.010174899436777402,-0.01566018281498653,-1.1430735088634094,-0.2683714859813103,0.9575888173278724,-0.3986327601010445,-0.4351596237062713,-0.4437736795828881,0.11988790540851181,-0.11406901458753183,-0.16883233228022487,361.4460754394531,0.0110321337886877,0.0120890001974394,1,2
2018-08-20,-0.26926453353490115,-0.8467926781398222,0.25461262346203717,-0.05232460626096024,-0.4034413150365943,-0.5820735280158642,0.11939764298358799,-0.6315093674084918,1.4976000582875448,-0.9573218382643199,-1.3665468397567884,0.3247263803963635,0.48244281621172,0.2555168026280688,-1.2259409419870166,0.10172472354457683,0.02908577052116456,-0.9912433042139325,0.4292971374658482,0.08088097460139033,-0.6842487173507458,-1.1325676874927593,-0.6933715277733291,-0.1679113333866048,-1.2157322892771383,-0.27816851664255143,0.48064811390757595,-0.5415260330179101,-0.9812574202331009,0.01637091622420873,-0.5364674197563217,-0.7451189329955108,-0.479164149786098,0.9650505472936555,-0.43934413580770737,-0.41997709280063417,-0.8362467251240339,0.2741285097956134,-0.05246484299569206,-0.30697252249652995,361.159423828125,-0.0007933834620824,0.0227401559042924,0,1
2018-08-21,-0.28063581967817486,-0.785573008504637,0.09230332503860837,-0.059676098656188066,-0.669128841855351,-0.2506997747635271,-0.2680852145311239,0.03676906360046865,1.494952693818083,-0.709551743090913,-1.2544154003932368,0.2766153510167705,0.48244281621172,-0.030636302651691174,-1.2259409419870166,-0.25855002406504946,1.5195544348102181,-1.0243498239019984,-0.07479977692475324,0.09612446345376294,-0.6859221381864175,-0.9698442612378833,0.8299039480341394,-0.23012828282399492,-0.996130152675901,-0.2850132608409101,0.5946907367020174,-0.5262721459153885,-1.103121333007498,-0.2603440870075546,-0.07355590117850355,-1.3749767176319025,-0.3523205054894249,0.9557684339223861,-0.4174487360794519,-0.6270565267496847,-0.640177636450967,-0.3062748769503354,-0.04749250367204222,0.14601212323258758,367.4184265136719,0.0171818472428139,0.0208162295971841,1,2
2018-08-23,-0.1498991255919227,0.32778451616921533,0.18876108273344444,0.13377669547464321,-0.551027055793854,-0.399684757039949,-0.47964829478346843,0.058702274786584234,1.492719674682825,0.12510974991788631,0.6105159177910047,0.7180645253942327,0.48244281621172,0.5956695475024362,-1.2259409419870166,-0.3118834577033127,0.9446352479187091,-1.02124437549616,0.693812073001245,0.0899445984507318,-0.21364854680200604,-0.15549734186237663,0.15198258493528533,-0.6172568766941141,-0.5856709027318658,-0.2018375863633351,0.8227759822909005,-0.5310071759958844,-1.0612693270831566,-2.788543185415102,2.5888930499859155,-0.8755577880765839,0.40464568267679774,0.9674973086442142,-0.10034030744323472,-0.6664495712274773,-0.34955432521339025,-0.4002490293886277,-1.4080727142434053,0.19397670476602766,360.0126953125,-0.0203620297586061,-0.0019524733241779,0,0
2018-08-24,-0.31107017199948966,-0.04104775690353681,0.2295699381116773,-0.09093605584076844,-0.39228748219834886,-0.665973090176773,-0.3523410554637507,-0.19536278485955044,1.490002840336183,0.3287519156156371,0.017393320959176093,-0.21803950087358281,0.48244281621172,-0.9042331292466089,-1.2259409419870166,-0.6457481002733337,0.6368088131721934,-0.6055250241225213,-0.8959865005839877,0.07180641050395353,-0.6876743057142642,-0.16017941179910264,-1.5387256404819432,-0.6777436928592538,-0.5738172434278483,-0.24002232553367725,0.9368186050853421,-0.5447183580632703,-0.9928055688229426,0.23515568050397267,0.10551378705609422,-1.1500479279036004,0.439467405565898,0.9553446289974228,-0.3541027965309264,-0.6575951396766382,-0.24772720450292562,-0.9780658617116027,-1.1485618489371368,0.03906981639714228,361.8282775878906,0.0050304323866262,0.0168448450430782,1,1
2018-08-27,-0.27476084674355605,-0.09590092761027916,0.2555393126414451,-0.03883400996088141,-0.36479211038328196,-0.5476042373843294,0.40739173373630905,-0.25173899824029905,1.487650840174997,0.29102471163579147,-0.07113308677731145,-0.11567199928527261,0.5480065464738437,0.11484069765735501,-1.2259409419870166,-0.6583076422938521,0.24923300482304875,-0.6415691871653254,0.17271227889782012,0.011359556897416983,-0.4979093818565219,-0.9520032035889149,-0.6933715277733291,-0.6745291734940542,-0.47512775694576587,-0.2440027205804746,1.2789464734686666,-0.6008001771639055,-0.9825567627311315,0.3571853370700817,-0.3960103677125109,-1.060529484394607,-0.06126712324416423,0.9673230327959732,-0.45744295990188966,-0.6615171613025244,-0.25781959523848424,-1.0051461817582745,-1.1746983198049075,-0.006727923187424095,369.7595825195313,0.0216832894955408,0.0152016839295353,1,2
2018-08-28,-0.10758866414754986,0.15584599664752694,0.2768712786448283,0.19483409419912118,-0.37609867848460754,-0.3885057017408672,0.4423407249447227,1.4339563944311768,1.485768944240549,2.4244482498334805,0.3419888928037908,0.5572648217179129,0.5480065464738437,0.7971780080905235,-1.2259409419870166,-0.3485848189785344,-0.5194267155923793,-0.4496550609912942,0.8884643790683391,-0.023340644278431143,0.14423712529847016,-0.27378848790451354,0.8299039480341394,-0.4720933729154146,-0.10329128533982133,-0.13568268150199397,1.3929890962631082,-0.6350728496573874,-1.007351243777605,0.11952542791240792,-0.7279622735603988,-0.5540005553526276,0.6998681815715522,0.9972076375459408,-0.2499231892988073,-0.5851578037115399,1.570700964124684,-0.465622063577848,-0.9829880780701906,1.377775650801537,368.7561950683594,-0.0027173097691907,-0.0347082811941609,0,1
2018-08-29,-0.13083160160536617,0.19721120069089101,-0.05887721188333001,0.15370963137366722,0.7856095130781903,-0.36094815390533785,-0.06022391554898011,-0.6482384596753958,1.4836677080839489,0.667866062927398,0.40690461456196786,0.2851278102495884,0.5480065464738437,0.34354416725730386,-1.2259409419870166,-0.28152825758318106,-0.43838992953632083,-0.43437849358150815,-0.15625036212060578,-0.03890192751050247,0.08636058346002141,-0.5491105162928047,1.206121921401604,-0.3808945582102947,0.09481951770593595,-0.06545948261825603,1.5070317190575497,-0.6505294845952139,-1.2522037342125725,-0.2672631445010056,-0.6122547985707202,0.6958030205783826,-0.8898733207534066,0.9783602875759755,-0.23707956339239805,-0.5979500817350194,0.34916059883797096,-0.348970321846797,-0.9991062694167477,-0.8385551654576315,366.7017517089844,-0.0055868556785479,-0.0175144834748819,0,1
2018-08-30,-0.17651203884443128,0.2682580656192412,-0.01806779041519012,0.0769762501319637,0.06954085479143507,-0.37228028985183953,0.7036932278139697,-0.12097664761005142,1.4815290742951097,0.6991598210044163,0.5160901369314994,0.08095783983903719,0.5480065464738437,-0.24014501838272154,-1.2259409419870166,-0.545875543509374,0.9379939080374358,-0.5544312067232045,-0.2774435323047996,-0.12883310067688103,-0.007552121543457606,-0.6633422409169165,0.15198258493528533,-0.27603922893898947,0.13507250129667658,-0.040571214331672004,1.6210743418519913,-0.746497938704914,-1.212552024537314,-0.4784471496749167,-0.5875114698319261,0.4277325847836497,0.18533398713768953,0.9575767141100038,-0.24883971150612527,-0.6924827228405314,0.504597553112644,-0.8114167148612114,-1.0465929268834189,0.15488252090591145,366.12841796875,-0.0015647113913499,0.002732346703407,0,1
