Date,dist_sma_100,high_low_range,roc_10,momentum_10,macd_signal,vma_5,dist_sma_5,return_lag_10,volume_lag_5,roc_20,volume_ratio_20,volume_lag_20,open_close_diff,dist_sma_200,price_diff,High,volume_lag_3,rolling_var_10,volume_change_ratio,week,momentum_5,month_cos,month_sin,rolling_vol_10,price_diff_pct,return_lag_1,rolling_vol_5,volume_ratio_5,volume_change,rolling_var_20,volume_lag_10,bb_pct,macd_hist,atr_pct,return_lag_3,Volume,volume_lag_1,atr,return_lag_5,roc_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2010-03-03,-0.15572018833159912,-0.5813817511564023,-0.2109253853011003,-0.14023072456215735,-0.8023218429917138,-0.5335532987947358,1.4660040786660316,1.0313656876817818,-0.6877817176156082,-0.36420969099298484,0.43121094488585404,-0.5900460475919138,0.9327962320161756,0.49465290781210597,0.739176283166732,-0.5505099799940266,0.1109693692631885,-0.4032215329136272,0.6541625732882933,-1.1451408897599527,0.6565300643621823,-0.010192082348462538,1.4167952331025446,0.10438479970836757,0.9350313039044467,-0.18212068474237972,0.8694451849536313,-0.10286607452167976,0.3784998264209581,-0.5594884971336747,-0.7387953934373629,0.7702262962600224,0.45759446521612446,-0.3124939961698705,0.05087985237712438,-0.43857408312838647,-0.775677028679001,-0.6252081426852238,-0.5666973854781575,0.8269280367846985,285.51141357421875,-0.0072009895972232,-0.0136633963520762,0,1
2010-03-04,-0.24565554377141186,-0.50641017157108,-0.12842328749171383,-0.07521816795323674,-0.7538867190988263,-0.4759321556627506,0.5471747387842342,-0.6971574121226995,-0.4416735498288489,0.06093554685425647,0.9453239138030936,-0.47368728514980085,-0.3232390887710498,0.4238176735771719,-0.350790845872208,-0.5505099799940266,-0.4902364679622993,-0.4076883214421218,0.13640491210055591,-1.1451408897599527,0.947081897705894,-0.010192082348462538,1.4167952331025446,0.07156749208720242,-0.44966866565073565,0.9336081074516741,0.40604944276071303,0.344352544186699,0.2528583989896579,-0.5572417355227113,-0.6286765236712658,0.3973720235165755,0.5636645769031386,-0.44269674012405713,2.340169912731039,-0.21726573349448208,-0.44183270939184494,-0.7431940135286129,-1.3067946837235158,1.2301052524040872,288.24761962890625,0.009537895316201,0.0001568984220606,1,1
2010-03-05,-0.16020919837805597,-0.6968187731353565,0.10262729671440032,0.10355727988724589,-0.6936638567717048,-0.5698216007058313,0.4565077223564749,-0.17157364452002274,0.1168948181213318,-0.1089500500231589,0.746165163670197,-0.842052965668975,0.14890868167651558,0.48695923118221274,0.4215595602361377,-0.5275394808880169,-0.7759287568906429,-0.37571591877269545,-0.2823920638077572,-1.1451408897599527,1.1200994854987616,-0.010192082348462538,1.4167952331025446,0.10287036071913916,0.5242948848485124,-0.44402818542290845,0.34177953142629874,0.4590599788206482,-0.047478780301241585,-0.5557555685808806,-0.9055706258901082,0.8270028143432054,0.7029994579915416,-0.44704081583852834,-0.18247252423533664,-0.25877845631262525,-0.21879479137493182,-0.7300844200270374,0.05255243647172244,1.4562796410473402,288.5168151855469,0.0009334680154974,-0.01663296736762,1,1
2010-03-08,-0.1634924099093415,-0.49149877820422194,0.23362426270913642,0.20339895087937965,-0.6271237901171488,-0.6144094490862755,0.322465982488389,-0.36500940116904057,-0.4911000314400255,0.2331275375971189,-0.21669469723158416,-0.6591677213143043,0.11260944247607317,0.4816765904982451,0.02456812191301447,-0.5313679298595192,-0.4398298439998422,-0.3333987772747732,-0.7760162552893769,-1.079274526576177,0.3170135873665891,-0.010192082348462538,1.4167952331025446,0.08112258017603413,0.021604249410682064,0.5283641025017136,-0.7561958978521162,-0.5605120228379796,-0.4593034591038368,-0.5480336253897935,-0.9504204612137196,0.7805376259982811,0.777670856469299,-0.4319665587655736,0.9348526996536537,-0.6606734801188292,-0.26063194430607184,-0.716203867772165,2.3443651787091357,0.37982547058582056,282.1023864746094,-0.0224832914733675,-0.0226425437668776,0,0
2010-03-09,-0.4044028327732617,0.11321822113312556,0.005227252885502269,0.02694712892930979,-0.5757316838549643,-0.5715295581589233,-0.8472174678692542,-0.6455592244762385,-0.7800184508443276,0.08342687147520221,-0.037770690739743054,-0.23638389967247805,-1.270602528032911,0.29554373231915476,-1.0509609904672588,-0.5380675695173954,-0.2152856554422026,-0.3352646327188343,-0.10257119415495389,-1.079274526576177,-0.09431518316054179,-0.010192082348462538,1.4167952331025446,0.2515971724439234,-1.3247547920370224,0.028517261300110636,-0.09755520235335949,-0.47593237975506597,0.06470576267796863,-0.5550336143643513,-0.7501040502880191,-0.25019625526978134,0.5986170649571605,-0.3302122885250589,-0.44475477318637086,-0.6040150009301076,-0.6656678569563416,-0.6745617403367583,-0.18105708265978682,-0.14054808631893398,283.6722717285156,0.0055495213868161,0.0105968067746736,1,1
2010-03-10,-0.35453919532236655,-0.7271001723589775,0.2926251839088499,0.24286899855017746,-0.5312949520996952,-0.6266790439961628,-0.4090977076870503,-0.5676027912369247,-0.4401241994448089,-0.15808587724977188,-0.1613284358630922,-0.738482845281878,0.3162933732313289,0.3266821688858965,0.2338751654535065,-0.5626332394679474,-0.25740535257716385,-0.3521118049905769,-0.3252101458851405,-1.079274526576177,-0.32284498647709275,-0.010192082348462538,1.4167952331025446,0.2144618446406558,0.2907469639409949,-1.3318049138584453,-0.3901675743869234,-0.514290338670426,-0.0546859467200701,-0.5552359418122124,-0.701748783530016,0.0038104297355144984,0.5164022885389922,-0.4064967694685526,0.5290288545326665,-0.6518346192581876,-0.6085665805826233,-0.7254577261656766,0.9374993771259097,-0.4244374217340844,285.55621337890625,0.0066193051769135,0.0493623640511842,1,1
2010-03-11,-0.2923464639710749,-0.9519621294848605,0.858615709071787,0.653831697244423,-0.48759048741542205,-0.7021541759178307,-0.05784870820214812,-1.3075133653299227,-0.21304438469780834,-0.2658221285154082,0.16900971823733513,-0.6979414876620654,0.4256080271836516,0.3662464512662768,0.284413134648861,-0.5597618540585698,-0.6651766461374864,-0.47431421040731964,0.08356771072274115,-1.079274526576177,-0.03556471804761581,-0.010192082348462538,1.4167952331025446,-0.055426591680040264,0.3532990962486069,0.2966722024526715,-0.3566526210192559,0.0670235961236543,0.16304062186742033,-0.5607383396149045,-0.4474370139143939,0.3365726066369726,0.5077466549048223,-0.4842716177218579,0.02846681144195673,-0.509124612207974,-0.6567599186555055,-0.7763532413238055,-0.44362835338628354,-0.06608768603243513,283.49285888671875,-0.0072519704734795,0.0338232587350606,0,1
2010-03-12,-0.3732517833774862,-0.5928144159682905,0.6875446334559764,0.5284538358074132,-0.45114596469748697,-0.8812434753141486,-0.26696888406840874,0.05149079598763344,-0.2556397111858577,0.029153006657535802,-0.885858741007022,-0.6195331482343447,-0.46206328514416667,0.2958624636952397,-0.3507859349821881,-0.5543384289655289,-0.6076897403999165,-0.6207745701450971,-1.020338180863738,-1.079274526576177,-0.3848692375259197,-0.010192082348462538,1.4167952331025446,0.0009039252187790873,-0.4526101905803256,0.3588178897321884,-0.4666601148244254,-1.0541547347296458,-0.5053433993292243,-0.5628217798882681,0.1297502910912658,-0.027377044749099785,0.4219317926025981,-0.46306462491752043,-1.3338017699140026,-0.9513085755794806,-0.5129346047651238,-0.7717265474624444,0.531228334648979,-0.5007918673386315,282.0574645996094,-0.0050761083837602,0.0539005675221186,0,1
2010-03-15,-0.4292105614707857,-0.2606193079261912,-0.20116736764790605,-0.13094411911706108,-0.42410604835177024,-0.9746765655544746,-0.29507487408663996,2.3427253212896826,-0.66801569114605,-0.03405049593558675,-1.0558765337054292,-0.9548969801481648,-0.21861444512067596,0.2440236966069282,-0.2497345510415789,-0.5562525560897782,-0.6562085487159033,-0.6139770436513615,-0.5123206922511695,-1.0134081633924015,-0.5089266237102382,-0.010192082348462538,1.4167952331025446,-0.7784398883426381,-0.32693252628656316,-0.4469897573053645,-0.4941404356119418,-1.1813723131209373,-0.08079395091148817,-0.5650577769574922,-0.49851104415667097,-0.28318661699831443,0.3107663033217462,-0.47936526549625075,0.29700543996568235,-1.0219749612554185,-0.958574322986305,-0.7933185699334447,0.03011469749880919,-0.6546197881773929,285.107666015625,0.0107560590681837,0.0585270618272511,1,2
2010-03-16,-0.32579220325402436,-0.7513649905473114,0.05588915382680131,0.0664124377301718,-0.3956028615173985,-1.082375505344042,0.16689948338270075,-0.18205978421848518,-0.6098796245254048,-0.08712508613572106,-1.037969713928462,-0.7961228387038763,0.7053940947874102,0.3149747000125905,0.4720877076514523,-0.5632713467503649,-0.5114119209106051,-0.6187779707306952,-0.2204355708179312,-1.0134081633924015,0.1798943727636588,-0.010192082348462538,1.4167952331025446,-0.709274595672551,0.5958130120526389,-0.3205899686352254,-0.956817332132185,-0.9627337893649748,0.0016658529033517079,-0.5643791312369869,-0.7970600731223383,0.21603165678254366,0.3280626337989147,-0.542411458361723,0.3592400479090476,-1.0204818689607302,-1.0297929803980757,-0.8257068389753401,-1.3336550349476826,0.2079138646287482,298.0263671875,0.0443150786633267,0.0733886269302746,1,2
